AvgSpotLen_l	BioSample_s	Experiment_s	Library_Name_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	ecotype_s	Assay_Type_s	BioProject_s	BioSampleModel_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Platform_s	SRA_Study_s	dev_stage_s	geo_loc_name_s	tissue_s
160	SAMN04498048	SRX1610922	DNA library 1	2016-03-02	1728	1012	Brassica rapa	2016-03-03	SRR3201126	SRS1320214	Brassica rapa SamA_001	Chinese cabbage 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498049	SRX1610945	DNA library 2	2016-03-02	2016	1386	Brassica rapa	2016-03-03	SRR3201149	SRS1320237	Brassica rapa SamA_002	Chinese cabbage 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498058	SRX1610947	DNA library 11	2016-03-02	1542	968	Brassica rapa	2016-03-04	SRR3201151	SRS1320239	Brassica rapa SamA_011	Chinese cabbage 11	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
202	SAMN04498148	SRX1610948	DNA library 101	2016-03-02	2469	1593	Brassica rapa	2016-03-04	SRR3201195	SRS1320240	Brassica rapa SamA_101	Pak choi 1	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
148	SAMN04498149	SRX1610949	DNA library 102	2016-03-02	2104	1452	Brassica rapa	2016-03-04	SRR3201234	SRS1320241	Brassica rapa SamA_102	Pak choi 2	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
152	SAMN04498150	SRX1610950	DNA library 103	2016-03-02	2289	1396	Brassica rapa	2016-03-04	SRR3201235	SRS1320242	Brassica rapa SamA_103	Pak choi 3	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498151	SRX1610951	DNA library 104	2016-03-02	2616	1644	Brassica rapa	2016-03-04	SRR3201236	SRS1320243	Brassica rapa SamA_104	Pak choi 4	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
144	SAMN04498152	SRX1610962	DNA library 105	2016-03-02	2498	1518	Brassica rapa	2016-03-04	SRR3201246	SRS1320254	Brassica rapa SamA_105	Pak choi 5	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
137	SAMN04498153	SRX1610968	DNA library 106	2016-03-02	2836	1775	Brassica rapa	2016-03-04	SRR3201250	SRS1320260	Brassica rapa SamA_106	Pak choi 6	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
200	SAMN04498154	SRX1610969	DNA library 107	2016-03-02	1520	945	Brassica rapa	2016-03-04	SRR3201254	SRS1320261	Brassica rapa SamA_107	Pak choi 7	WGS	PRJNA312457	Plant	public	0	Illumina HiSeq 2000	PAIRED	RANDOM PCR	GENOMIC	ILLUMINA	SRP071086	seedling	China	leaf
